"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Expert Info","Info"
"150","3.708861","192.168.1.205","192.168.1.151","TLSv1.2","435","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"151","3.708882","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=5253 Win=130048 Len=0 TSval=1225981963 TSecr=730073089"
"152","3.708883","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=5622 Win=129728 Len=0 TSval=1225981963 TSecr=730073089"
"153","3.711896","192.168.1.205","192.168.1.151","TLSv1.2","1514","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"154","3.712045","192.168.1.205","192.168.1.151","TLSv1.2","1164","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"155","3.712069","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=8168 Win=129920 Len=0 TSval=1225981966 TSecr=730073092"
"156","3.713727","192.168.1.151","192.168.1.205","TCP","66","52803","6690","Chat","52803  >  6690 [FIN, ACK] Seq=2844 Ack=8168 Win=129920 Len=0 TSval=1225981967 TSecr=730073092"
"157","3.721708","192.168.1.205","192.168.1.151","TCP","66","6690","52803","Chat","6690  >  52803 [FIN, ACK] Seq=8168 Ack=2845 Win=32256 Len=0 TSval=730073102 TSecr=1225981967"
"158","3.721755","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2845 Ack=8169 Win=129920 Len=0 TSval=1225981975 TSecr=730073102"
"159","4.088774","192.168.1.151","172.217.2.14","UDP","75","55499","443","","55499  >  443 Len=33"
"160","4.098720","172.217.2.14","192.168.1.151","UDP","68","443","55499","","443  >  55499 Len=26"
"161","4.633238","162.125.8.13","192.168.1.151","TLSv1.2","112","443","52585","","Application Data"
"162","4.633296","192.168.1.151","162.125.8.13","TCP","66","52585","443","","52585  >  443 [ACK] Seq=1 Ack=47 Win=2047 Len=0 TSval=1225982881 TSecr=655575906"
"163","4.633368","192.168.1.151","162.125.8.13","TLSv1.2","112","52585","443","","Application Data"
"164","4.633412","192.168.1.151","162.125.8.13","TLSv1.2","97","52585","443","Chat","Encrypted Alert"
"165","4.660211","162.125.8.13","192.168.1.151","TCP","66","443","52585","","443  >  52585 [ACK] Seq=47 Ack=47 Win=67 Len=0 TSval=655575987 TSecr=1225982881"
"166","4.660216","162.125.8.13","192.168.1.151","TLSv1.2","97","443","52585","","Encrypted Alert"
"167","4.660217","162.125.8.13","192.168.1.151","TCP","66","443","52585","Chat","443  >  52585 [FIN, ACK] Seq=78 Ack=79 Win=67 Len=0 TSval=655575987 TSecr=1225982881"
"168","4.660321","192.168.1.151","162.125.8.13","TCP","54","52585","443","Warning","52585  >  443 [RST] Seq=79 Win=0 Len=0"
"169","4.660321","192.168.1.151","162.125.8.13","TCP","54","52585","443","Warning","52585  >  443 [RST] Seq=79 Win=0 Len=0"
"170","4.886896","192.168.1.151","64.233.191.189","UDP","75","63148","443","","63148  >  443 Len=33"
"171","4.900614","Tp-LinkT_c6:1c:2b","Apple_2f:d1:7b","ARP","42","","","","Who has 192.168.1.151? Tell 192.168.1.1"
"172","4.900654","Apple_2f:d1:7b","Tp-LinkT_c6:1c:2b","ARP","42","","","","192.168.1.151 is at a4:83:e7:2f:d1:7b"
"173","4.908529","64.233.191.189","192.168.1.151","UDP","67","443","63148","","443  >  63148 Len=25"
"174","5.346791","192.168.1.205","224.0.0.251","MDNS","146","5353","5353","","Standard query 0x0000 A Living-Room.local, ""QM"" question SRV C869CD515D68@Living Room._raop._tcp.local, ""QM"" question SRV Living Room._airplay._tcp.local, ""QM"" question"
"175","5.449159","192.168.1.122","224.0.0.251","MDNS","274","5353","5353","","Standard query response 0x0000 A, cache flush 192.168.1.122 SRV, cache flush 0 0 7000 Living-Room.local SRV, cache flush 0 0 7000 Living-Room.local AAAA, cache flush fe80::866:6fa:d134:f151 NSEC, cache flush Living-Room.local NSEC, cache flush Living Room._airplay._tcp.local NSEC, cache flush C869CD515D68@Living Room._raop._tcp.local"
"176","5.454444","fe80::866:6fa:d134:f151","ff02::fb","MDNS","294","5353","5353","","Standard query response 0x0000 A, cache flush 192.168.1.122 SRV, cache flush 0 0 7000 Living-Room.local SRV, cache flush 0 0 7000 Living-Room.local AAAA, cache flush fe80::866:6fa:d134:f151 NSEC, cache flush Living-Room.local NSEC, cache flush Living Room._airplay._tcp.local NSEC, cache flush C869CD515D68@Living Room._raop._tcp.local"
"177","5.963256","34.206.167.66","192.168.1.151","TLSv1.2","133","443","51229","","Application Data"
"178","5.963314","192.168.1.151","34.206.167.66","TCP","66","51229","443","","51229  >  443 [ACK] Seq=1 Ack=135 Win=2046 Len=0 TSval=1225984203 TSecr=2310365987"
"179","6.100768","104.248.5.185","192.168.1.151","TLSv1.2","90","443","51395","","Application Data"
"180","6.100827","192.168.1.151","104.248.5.185","TCP","66","51395","443","","51395  >  443 [ACK] Seq=1 Ack=25 Win=2047 Len=0 TSval=1225984340 TSecr=2388913589"
"181","6.100906","192.168.1.151","104.248.5.185","TLSv1.2","94","51395","443","","Application Data"
"182","6.153938","104.248.5.185","192.168.1.151","TCP","66","443","51395","","443  >  51395 [ACK] Seq=25 Ack=29 Win=33 Len=0 TSval=2388913642 TSecr=1225984340"
"183","6.283824","192.168.1.1","192.168.1.151","NBNS","92","34609","137","","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"184","6.283959","192.168.1.151","192.168.1.1","NBNS","163","137","34609","","Name query response NBSTAT"
"185","6.291636","192.168.1.1","192.168.1.151","NBNS","92","42959","137","","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"186","6.291754","192.168.1.151","192.168.1.1","NBNS","163","137","42959","","Name query response NBSTAT"
"187","6.293429","192.168.1.1","192.168.1.151","ICMP","191","137","42959","","Destination unreachable (Port unreachable)"
"188","6.371111","192.168.1.1","255.255.255.255","UDP","215","48952","7437","","48952  >  7437 Len=173"
"189","6.784122","35.170.229.85","192.168.1.151","TLSv1.2","597","443","52762","","Application Data"
"190","6.784126","35.170.229.85","192.168.1.151","TLSv1.2","97","443","52762","Chat","Encrypted Alert"
"191","6.784187","192.168.1.151","35.170.229.85","TCP","66","52762","443","","52762  >  443 [ACK] Seq=1 Ack=532 Win=2039 Len=0 TSval=1225985020 TSecr=2319051801"
